Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment,New rating,New date,Country
Assault Kittens,amt compromise see gaming,ryzen cpu better battery razer laptoprtx play game phz refresh sweet spot competitive gamingbuild quality normal razer best gaming laptopio u charge usb c proprietary cable amazingthink downside sorta loud not norm makes sense cause move lot air small area,4.5 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.018, 'neu': 0.863, 'pos': 0.118, 'compound': 0.7269}",0.7269,positive,4.5,2021-06-18,United States
Kenneth Cramer,best small form factor gaming,blade best ownedsmall actually carry around without much stress powerful play games sure fans sound like vacuum aren wear headphones not badscreen fantastic build quality amazingwish razer retire stupid snake logo covered skin,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.057, 'neu': 0.743, 'pos': 0.2, 'compound': 0.8208}",0.8208,positive,5.0,2021-07-07,United States
Patrick Cleath,amazing,love able max game want play options xbox series x see likely free ticket another galaxy obtain brand new xbox series x settled best best gaming device not disappoint build quality far surpasses manufacturers like asus dell plus size perfect us travel work occasion sure exhaust fans occasion make little noise price pay power overall love,1.0 out of 5 stars,Yes,"Reviewed in the United States on June 27, 2021","{'neg': 0.044, 'neu': 0.725, 'pos': 0.231, 'compound': 0.9735}",0.9735,positive,1.0,2021-06-27,United States
Syed,perfect love,media not loaded ordered shipped overseas not arrive days earlier without prime also come excellent packaging reassured parcel arrive safe soundvery simple discrete design turn green logo back prefersuper portable physically speak almost compact older macbook pro retina great keyboard trackpad fit right medium size hands p excellent battery life easily hours run cad program hours ms office browsingi engineer profession past week use autocad multisim matlab visual stay cool quiet whole timelastiy played online steam games casually ld borderlands rocket league quite good high spec configuration note hardcore gamer really give useful opinion area good standardsoverall razer do satisfied customer ps since screen comes higher resolution capabilities default comes small font size tiny letters though font size adjusted display settings complains like fyi,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 21, 2021","{'neg': 0.008, 'neu': 0.794, 'pos': 0.198, 'compound': 0.9926}",0.9926,positive,5.0,2021-12-21,United States
Michael,power pint size,love size blade model blade size weight way portablelove screen qhd hz without match sizelove battery beats older blade battery duration hours morelove performance compare older blade intel core h geforce rtx blade hardware runs ring around itlove thermals temp way better managed cooler older blade win regret,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 1, 2021","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.891}",0.891,positive,5.0,2021-01-12,United States
PAOLO,absolutely love thing,pricey coins phenomenal purchase find screen perfect size text still good size ui elements overall immersive experience like machines smaller footprint complaints screen size terms performance handles anything throw ease definitely runs hot something ive noticed though fans seems sit right wasd keys keyboard area feel cool touch heavy use seems like intentional detail impressive absolutely love look feel sleek mostly minimalistic fewer bright green details overall feel like premium product nitpick expected luxe unboxing experience price point minor detail cant tell im grasping straws thing awesome,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 28, 2021","{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.9957}",0.9957,positive,5.0,2021-11-28,United States
PAOLO,incredible quality beautiful gaming,somewhat concerned cooling able rtx lying flat runs low mid razer stand buy stay maxthe screen brightness appears much brighter rated surprisingly cooling fans much quieter think beoverall thing total beast feel great use screen quite fast razer best quality gaming laptops owned past,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 21, 2021","{'neg': 0.042, 'neu': 0.752, 'pos': 0.206, 'compound': 0.959}",0.959,positive,5.0,2021-07-21,United States
Artrosoft,incredible performance small chassis, model thing push stable fps rocket league maxed graphics settings maxed resolution x ill admit fans sound like jet engine gaming headphones not issue,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 15, 2021","{'neg': 0.041, 'neu': 0.857, 'pos': 0.102, 'compound': 0.2144}",0.2144,positive,5.0,2021-11-15,United States
Artrosoft,great,screaming fast love things know youll update windows activate show unactivated updates completed possibly sign razer central app also download nvidias driver app directly website keep gpu driver updated amazing keep cool prolong battery life great purchase far battery brightness simply mac laptops build quality ,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 17, 2022","{'neg': 0.023, 'neu': 0.823, 'pos': 0.154, 'compound': 0.9431}",0.9431,positive,5.0,2022-01-17,United States
James Appleby,thing fast,speed want gaming battery life little low pushing processor graphics board par expect,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 2, 2022","{'neg': 0.036, 'neu': 0.934, 'pos': 0.03, 'compound': -0.0653}",-0.0653,negative,5.0,2022-02-02,United States
Assault Kittens,razer superb quality,first razer surprised premium feel xps feel premium macbooks unibody metal chassis also delivers insane gaming performance package small model slower much bigger asus rog zephyrus g complaints aspect ratio average speakers terrible webcam slightly mushy keys absolutely love per key rgb,4.5 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.088, 'neu': 0.846, 'pos': 0.066, 'compound': -0.2748}",-0.2748,negative,4.5,2021-06-18,United States
Kenneth Cramer,best gaming,prosunreasonably quiet not silentscreen solidconsfinger prints grease magnetthe feet give height feel bigger not sure,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.3491}",-0.3491,negative,5.0,2021-07-07,United States
Amazon Customer,brand new razer blade break mouse pad,received gem turned realized track pad super jumpy unable control tried downloading drivers updating windows synapse resetting whole still unable use track pad also call support tell already tried plugged mouse able game fine problem really impressed small monster great size wish ryzen processor variant thing lacking opinion sd slot extra ssd spot comes bladethis replacement razer blade pro honestly feel advance model sweet spot honestly probably keep wishes not fan dongles external ssd like keep travel clean possibleim disappointed razer advise anyone year plan crazy brand new costing problem box razer insurance battery died years love company disappointed purchases,1.0 out of 5 stars,Yes,"Reviewed in the United States on June 30, 2021","{'neg': 0.084, 'neu': 0.731, 'pos': 0.185, 'compound': 0.9859}",0.9859,positive,1.0,2021-06-30,United States
Amazon Customer,almost perfect,month seriously fantastic game play csgo anywhere fps also use work say almost perfect since comes ram soldered wait next offers,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 6, 2021","{'neg': 0.021, 'neu': 0.858, 'pos': 0.121, 'compound': 0.6601}",0.6601,positive,5.0,2021-06-12,United States
Divan,great product,use work long term solution,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 1, 2021","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,positive,5.0,2021-01-07,United States
Herolist,love,first razer blast,5.0 out of 5 stars,Yes,"Reviewed in the United States on August 24, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5.0,2021-08-24,United States
Herolist,battery life,want portable gaming thing mind need charger studying school amazing hrs,4.0 out of 5 stars,Yes,"Reviewed in the United States on July 21, 2021","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7469}",0.7469,positive,4.0,2021-07-21,United States
Andy ,crazy,university student perfect use game also use studytake class,4.0 out of 5 stars,Yes,"Reviewed in the United States on June 25, 2021","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.5719}",0.5719,positive,4.0,2021-06-25,United States
Irfan Sulejmani,best,amazing buy travel lot course like play games best great resolution play new games high settings thing thats downer sound fans warm,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 13, 2021","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.9011}",0.9011,positive,5.0,2021-09-13,United States
Bug,powerful little gaming,compact powerful specs batter expect gaming wish feature switch internal gpu discreet gtx need far happy purchase,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 5, 2022","{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.8583}",0.8583,positive,5.0,2022-05-01,United States
Assault Kittens,poder compactado,equipo calidad terminacion increible relamente dia hoy cual escribo resena equipo mas potente menor tamano del mercado equipo excelente sentido solo dos cosas deberian mejorar memoria ram boton encendido,4.5 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4.5,2021-06-18,United States
Kenneth Cramer,good gaming,thing powerhouse remember keep plugged,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5.0,2021-07-07,United States
Adrian Girardi,review,good really hot need fan table,1.0 out of 5 stars,Yes,"Reviewed in the United States on July 15, 2021","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.6369}",0.6369,positive,1.0,2021-07-15,United States
TCrowNest,solid gaming, inch great honestly thing better battery life regular productivity tasks still good,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 8, 2022","{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.8537}",0.8537,positive,5.0,2022-08-02,United States
joshua,good,works expected audio problems first start updating drivers audio working,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 23, 2022","{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.2144}",-0.2144,negative,5.0,2022-05-23,United States
Axell,way cooler mac amd faster doubt,problem fan noisebut use head seat use monitor wont issuse,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 21, 2021","{'neg': 0.117, 'neu': 0.783, 'pos': 0.1, 'compound': -0.1027}",-0.1027,negative,5.0,2021-12-21,United States
Rony Rodrigo Maximiliano Rodríguez Ramírez,razer need deliver confidence buyers,review middle tier rtx good excellent design build doubt premium product cohesive unit product delivers come minimal bloatware thanks razeri wish razer fixes followingthe bad lot money wish razer much confidence products customers offering year warranty doesn statistically part fail years since integrated way replace anything ram soldered razer wont allow customers upgrade ram offer games forza dirt failed know want find price point work box web cam barley good use facial recognition log video audio quality really bad not use officework home environment power plug need updated usbc razer opportunity stick outdated proprietary plug alleviate need multiple plugs docked lugging around huge power brickthe ugly overall not feel confident justify pay taxes insurance college freshman able pick know provide performance power confidence years college,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 26, 2021","{'neg': 0.088, 'neu': 0.812, 'pos': 0.1, 'compound': 0.3558}",0.3558,positive,5.0,2021-12-26,United States
FRNAK,powerful size,great things small negative background returned asus g lack camera not liking screen build quality machine happy keep since things though camera not good quality real negative say speaker quality bad battery life hrs good type not good laptops use plugging performance crazy good inch version think sweet spot since still runs wattage reviews gains max performance dollars doesn make much sense buy playing games resolution highest settings machine amazing really like keyboard trackpad overall ideal small build powerful docked star poor speakers poor webcam machines smaller bezels things way better easily do better ways rest good take problems still love,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 11, 2021","{'neg': 0.097, 'neu': 0.701, 'pos': 0.201, 'compound': 0.9891}",0.9891,positive,5.0,2021-11-07,United States
Kayman,really like come dead unit,media not loaded received unit excited looked perfect point pressed power button unit not powered hooked power brick still call amazon support issued refund right away hoping replacement unit simply tell order couldnt replacement system though didnt power really like form factor keyboard feel great case feel sturdy disappointment order available find stock,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 7, 2021","{'neg': 0.031, 'neu': 0.813, 'pos': 0.155, 'compound': 0.948}",0.948,positive,5.0,2021-10-07,United States
Jeket,stars,truly nice product overpriced general example asus rog g g usually internals ie rtx amd intel cpu yet lower prices sum branding since razer really popular gamer elites really dislike not able upgrade ram due ram integrated onto mb higher speeds also lack second slot memory capping terabyte adventurous try upgrading terabyte nvme ssd usually double sided leading bends still nice product do need music production,2.0 out of 5 stars,Yes,"Reviewed in the United States on July 6, 2021","{'neg': 0.066, 'neu': 0.831, 'pos': 0.102, 'compound': 0.6369}",0.6369,positive,2.0,2021-06-07,United States
Assault Kittens,fingerprint magnet heavy power brick,good core ryzen zen base cpu solid rtx w mobile gpu lightest gaming able find lbs high refresh rate p silent gaming gaming productivity tons ports decent battery lifethe bad memory timings poor memory not replaceable barebones bios displayport option power brick weighs much try grab exact weight edit reviewthe uglyfingerprint magnet razer please fixthe lowdownif find msrp worth ready clean regularly,4.5 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.078, 'neu': 0.78, 'pos': 0.141, 'compound': 0.7125}",0.7125,positive,4.5,2021-06-18,United States
Kenneth Cramer,great machine flaws,pros portable hold hand open screen without pry open hands great gaming keyboard practically softest keyboards touched laptopcons battery life abysmal think hours bit light usage dont like power button use delete button often sometimes power button accident speakers aren great use zoom calls moderate setting sounds bad speaker buffering noises volume webcam quality not great device supposed high endoverall think reason buy portable fitted high gpu small device speakers webcam battery lower spectrumthere lots cons find owning quite time think weren portability device gpu reason price range think daily driver road laptops portable better speakerswebcams admit consideration switching terms daily driver,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.076, 'neu': 0.881, 'pos': 0.042, 'compound': -0.8602}",-0.8602,negative,5.0,2021-07-07,United States
Richard C.,razer subpar support,excited receive worked great games crash entire system new heavily graphics intensive games particular fantastic games like elder scrolls online genshin impact run minutes crashing blue screen death initially think find solution worked weeks stopped working fine think contact razer support warranty claim week weeks emails mostly due not responding greater hours seemed not read previous emails ahead send free repair weeks ago week informed hardware issues find reimaging windows fixed problem series tests cool do testing working happy received daily emails say wait shipping information not mind wait repairs complete product working impatient days ago received email say couldn find problem explain issue issue explained several times length catch video support thread expressed frustration not received emails money spend not work support team seemingly interest supporting recommend anyone take gamble product receive product working intended large price tag great promises performance update review reflect product given interactions razer support team product always let deserving negative review,1.0 out of 5 stars,Yes,"Reviewed in the United States on July 27, 2021","{'neg': 0.083, 'neu': 0.784, 'pos': 0.133, 'compound': 0.9652}",0.9652,positive,1.0,2021-07-27,United States
Bee Lor,faulty trackpad bad customer service amazon,let start say machine good recieved unit defective touchpad several touch clicks werent registering defective units happen go amazon issue replacement device says unable directed customer service customer service absolute mess speak different people emails return devicenow hope time refund item still stock high demand item hoping stock repurchase item ridiculous wont issue replacement,3.0 out of 5 stars,Yes,"Reviewed in the United States on January 6, 2022","{'neg': 0.087, 'neu': 0.805, 'pos': 0.108, 'compound': 0.4505}",0.4505,positive,3.0,2022-06-01,United States
James Armstrong,little jet engine,thing great little powerhouse machine buy idea use schoolwork gaming side want hang live room partner run lose ark solid fps issues though couldnt figure unlock frames didnt long try ultimately returned way loud preference thing sounded like jet engine live room wasnt pleasant experience anyone keys hot gameplay standard gaming stuff hoping fixed,3.0 out of 5 stars,Yes,"Reviewed in the United States on November 12, 2021","{'neg': 0.054, 'neu': 0.855, 'pos': 0.091, 'compound': 0.6246}",0.6246,positive,3.0,2021-12-11,United States
Justin R.,fantastica,producto realmente ha impresionado sobre hecho ser tan compacto liviano gran calidad construcción puedas utilizar cómodamente tanto tu trabajo como ocio nivel videojuegos fenomenal aunque salta cierta duda sonido ventiladores veces algo calentamiento pero nada fuera común aun testeado fondo sin embargo autonomía genera expectativa horas como quieren vender más allá eso creo ha enamorado completamente,1.0 out of 5 stars,Yes,"Reviewed in the United States on July 13, 2021","{'neg': 0.075, 'neu': 0.88, 'pos': 0.045, 'compound': -0.4939}",-0.4939,negative,1.0,2021-07-13,United States
Big Secret,not video editing,really liked first guess didn video editing yet point portability great regular light gaming regular tasks like research word watch youtube although price point doesn match keyboard takes use write right struggling bit tried real video editing p downscaled p quarter resolution playback struggled actually struggled bad return product see studio edition gigabyte aero video editing sadly product cant trusted heavy editing,1.0 out of 5 stars,Yes,"Reviewed in the United States on March 16, 2022","{'neg': 0.165, 'neu': 0.769, 'pos': 0.067, 'compound': -0.9518}",-0.9518,negative,1.0,2022-03-16,United States
Erick S.,muy buena pero,gusta q puede aumentar ram adobe effects necesito mucho igual blender así q mejor otra creadores contenido,3.0 out of 5 stars,Yes,"Reviewed in the United States on November 10, 2021","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative,3.0,2021-10-11,United States
Donnoven rios,hardware solid stars,razer putting god awful stickers palm rest theyre type tear leave super gummy residue goo cant take care terrible way drag wonderful machine macbook quality dregs cheap plastic gaming laptops horribleupdatereinstalled windows remove bloatware use newest nvidia drivers notebook refresh rate capped hz razer support extremely useless returning beautiful hardware awful driver software support,4.0 out of 5 stars,Yes,"Reviewed in the United States on September 13, 2021","{'neg': 0.191, 'neu': 0.601, 'pos': 0.208, 'compound': 0.6272}",0.6272,positive,4.0,2021-09-13,United States
Clevis,perfect works sent back times repairs,device months send back warranty repairs time graphics card go another time didn wake sleep time leave audio channel go speakers external output multiple installs os general driver troubleshooting courseeach time beg send new unit keep repairing old continues break months owned device hands repaired customer service generally responsive demand useless details screen captured video evidence speaker not working examplebeyond issues nearly perfect excellent screen great performance runs cool keyboard excellent camera satisfactory windows hello gorgeous build quality top notchfor fine need improvement battery fine hours active usage speakers fine minor nitpick not razer fault want thunderbolt equivalent amd machine plus power cable dream like obviously device quite expensive welloverall recommend buy dreadful repair record painfully tedious customer service experience essentially perfect device,3.0 out of 5 stars,Yes,"Reviewed in the United States on September 7, 2021","{'neg': 0.052, 'neu': 0.737, 'pos': 0.21, 'compound': 0.9942}",0.9942,positive,3.0,2021-07-09,United States
